sku,name,size,pattern,ply,designModel,retailPrice,wholesalePrice,stock,image
BTG-026,"Patch Roler","","Patches",,"BTG",1094,4151,48,"https://i.ibb.co/4RNF2LJJ/1.jpg"
BTG-027,"Repair Plug #4 & #6","Repair Plug #4 & #6","Patches",,"BTG",7843,5324,90,"https://i.ibb.co/Kx3BKYY5/1.jpg"
BTG-028,"Small T30","Small T30","Patches",,"BTG",2384,865,27,"https://i.ibb.co/4nXb3D8n/10-00-20-1.jpg"
BTG-029,"Small T40","Small T40","Patches",,"BTG",7126,6216,105,"https://i.ibb.co/4nXb3D8n/10-00-20-1.jpg"
BTG-030,"Tiny C100","Tiny C100","Patches",,"BTG",4619,4624,34,"https://i.ibb.co/4nXb3D8n/10-00-20-1.jpg"
BTG-031,"Tiny M100","Tiny M100","Patches",,"BTG",3491,7380,10,"https://i.ibb.co/4nXb3D8n/10-00-20-1.jpg"
BTG-032,"10.00-20","10.00-20","Tubes",,"Hussain, Zess, MTF, Sakura",6666,1558,20,"https://i.ibb.co/Lhb9BzQr/1.jpg"
BTG-033,"2.50-17","2.50-17","Tubes",,"Zess",6929,5522,89,"https://i.ibb.co/39wtBs7D/1.jpg"
BTG-034,"2.50-18","2.50-18","Tubes",,"Hussain",5520,1331,43,"https://i.ibb.co/TB1CTh70/1.jpg"
BTG-035,"2.75-14","2.75-14","Tubes",,"Hussain, Zess, MTF, Sakura",4079,1375,10,"https://i.ibb.co/pjPv4dRG/1.jpg"
BTG-036,"2.75-17","2.75-17","Tubes",,"Zess",3366,8072,10,"https://i.ibb.co/4nXb3D8n/10-00-20-1.jpg"
BTG-037,"2.75-18","2.75-18","Tubes",,"Hussain",7209,6279,92,"https://i.ibb.co/Ld88qw0J/1.jpg"
BTG-038,"26_1.5","26_1.5","Tubes",,"BTG",5837,1756,73,"https://i.ibb.co/4nXb3D8n/10-00-20-1.jpg"
BTG-039,"3.00-10","3.00-10","Tubes",,"Hussain, Zess, MTF, Sakura",9291,9730,11,"https://i.ibb.co/4nXb3D8n/10-00-20-1.jpg"
BTG-040,"3.00-12","3.00-12","Tubes",,"Hussain, Zess, MTF, Sakura",6416,4055,66,"https://i.ibb.co/FkB87wm5/1.jpg"
BTG-041,"3.00-17","3.00-17","Tubes",,"Hussain, Zess",2393,5308,46,"https://i.ibb.co/d4JY0DFP/1.jpg"
BTG-042,"3.00-18","3.00-18","Tubes",,"Hussain",6514,9074,82,"https://i.ibb.co/prKJ8wxT/1.jpg"
BTG-043,"42454.000231481485","42454.000231481485","Tubes",,"Hussain, Zess, MTF, Sakura",4030,1105,62,"https://i.ibb.co/NdDTM10p/1.jpg"
BTG-044,"4.00-12","4.00-12","Tubes",,"Hussain, Zess, MTF, Sakura",6900,4400,24,"https://i.ibb.co/Z1p15vTS/1.jpg"
BTG-045,"4.00-8","4.00-8","Tubes",,"Hussain, Zess, MTF, Sakura",5101,5924,65,"https://i.ibb.co/JwQDbz8p/1.jpg"
BTG-046,"4.50-10","4.50-10","Tubes",,"Hussain, Zess, MTF, Sakura",9989,2525,54,"https://i.ibb.co/214PpjNt/1.jpg"
BTG-047,"4.50-12","4.50-12","Tubes",,"Hussain",1761,5444,86,"https://i.ibb.co/Zp2XKR2P/1.jpg"
BTG-048,"5.00-10","5.00-10","Tubes",,"Hussain, Zess, MTF, Sakura",10214,4979,23,"https://i.ibb.co/wZSMMybM/1.jpg"
BTG-049,"5.00-12","5.00-12","Tubes",,"Hussain, Zess, MTF, Sakura",10127,3006,35,"https://i.ibb.co/PGwKgTKm/2.jpg"
BTG-050,"5.50-13","5.50-13","Tubes",,"Hussain, Zess, MTF, Sakura",8924,7408,90,"https://i.ibb.co/gbpxmLPY/1.jpg"
BTG-051,"6.00-12","6.00-12","Tubes",,"Hussain, Zess, MTF, Sakura",10120,3666,21,"https://i.ibb.co/Lz7wJVZW/1.jpg"
BTG-052,"6.00-14","6.00-14","Tubes",,"Hussain, Zess, MTF, Sakura",6717,8659,77,"https://i.ibb.co/gbCrRzQv/2.jpg"
BTG-053,"6.00-16","6.00-16","Tubes",,"Hussain",2034,7167,38,"https://i.ibb.co/WpgtxSR9/2.jpg"
BTG-054,"7.00-15 sn","7.00-15","Tubes",,"Hussain, Zess, MTF, Sakura",2832,5406,91,"https://i.ibb.co/4nXb3D8n/10-00-20-1.jpg"
BTG-055,"7.50-16","7.50-16","Tubes",,"Hussain, Zess, MTF, Sakura",3705,5713,68,"https://i.ibb.co/wZ0NxP8f/1.jpg"
BTG-056,"42607.000231481485","42607.000231481485","Tubes",,"Hussain, Zess, MTF, Sakura",10373,5183,14,"https://i.ibb.co/sZZB07b/1.jpg"
BTG-057,"44068.000231481485","44068.000231481485","Tubes",,"Hussain, Zess, MTF, Sakura",8810,4653,81,"https://i.ibb.co/4nXb3D8n/10-00-20-1.jpg"
BTG-058,"9.00-20","9.00-20","Tubes",,"Hussain, Zess, MTF, Sakura",3856,4842,29,"https://i.ibb.co/4nXb3D8n/10-00-20-1.jpg"
BTG-059,"90.90-12","90.90-12","Tubes",,"Tourino",9511,6035,63,"https://i.ibb.co/4nXb3D8n/10-00-20-1.jpg"
BTG-060,"Five Star 500ml","5 Star","Tyre Sealants",,"BTG",4061,3265,28,"https://i.ibb.co/4nXb3D8n/10-00-20-1.jpg"
BTG-061,"AR Michael 1000ml","AR Mobile - 1000ml","Tyre Sealants",,"BTG",10655,7566,65,"https://i.ibb.co/q3d02v7G/1.jpg"
BTG-062,"AR-Michel","","Tyre Sealants",,"BTG",5623,5170,43,"https://i.ibb.co/4nXb3D8n/10-00-20-1.jpg"
BTG-063,"Arson 500ml","","Tyre Sealants",,"BTG",3438,5943,34,"https://i.ibb.co/wNKpZbS6/2.jpg"
BTG-064,"Pipe Gel Orange 1000ml","Arson (Pipe Gel) - 1000 ml","Tyre Sealants",,"BTG",10626,7917,37,"https://i.ibb.co/QFK4MW7w/2.jpg"
BTG-065,"Arson (Sun Blue) 1000ml","Arson (Sun Blue) - 1000ml","Tyre Sealants",,"BTG",8902,7980,34,"https://i.ibb.co/vCk9Pbqd/2.jpg"
BTG-066,"B+ 500ml","","Tyre Sealants",,"BTG",10053,9736,87,"https://i.ibb.co/4nXb3D8n/10-00-20-1.jpg"
BTG-067,"C Michael 1000ml","C Michel - 1000ml","Tyre Sealants",,"BTG",2891,1742,103,"https://i.ibb.co/tNFSMQP/3.jpg"
BTG-068,"C Michael 800ml","C Michel - 800 ml","Tyre Sealants",,"BTG",9883,4729,34,"https://i.ibb.co/yn839Dr5/1.jpg"
BTG-069,"C-Michel","","Tyre Sealants",,"BTG",7139,7620,31,"https://i.ibb.co/4nXb3D8n/10-00-20-1.jpg"
BTG-070,"MRF 500ml","","Tyre Sealants",,"BTG",8780,5766,31,"https://i.ibb.co/4nXb3D8n/10-00-20-1.jpg"
BTG-071,"NS Best Green 500ml","NS Best - 500ml","Tyre Sealants",,"BTG",4788,3335,20,"https://i.ibb.co/YF5tGTsc/1.jpg"
BTG-072,"Omni 1000ml","","Tyre Sealants",,"BTG",6602,5820,103,"https://i.ibb.co/M5CD01gh/1.jpg"
BTG-073,"Quick Best 500ml","Quick Best - 500ml","Tyre Sealants",,"BTG",7052,5352,16,"https://i.ibb.co/PzVyXN4P/1.jpg"
BTG-074,"R Michael 800ml","R Michel - 800ml","Tyre Sealants",,"BTG",4036,4593,36,"https://i.ibb.co/yFnBb9Nq/1.jpg"
BTG-075,"RMB 500ml","RMB - 500 ml","Tyre Sealants",,"BTG",3676,8724,95,"https://i.ibb.co/1t0HFJXg/1.jpg"
BTG-076,"RV Fast Pink 500ml","RV Fast (Pink) - 500 ml","Tyre Sealants",,"BTG",10719,6914,74,"https://i.ibb.co/qMLC0wd4/1.jpg"
BTG-077,"Sealants Collection","","Tyre Sealants",,"BTG",7537,1536,84,"https://i.ibb.co/Wvqjg3SZ/1.jpg"
BTG-078,"Sun Power 1100 ml","Sun Power - 1100 ml","Tyre Sealants",,"BTG",5717,2792,73,"https://i.ibb.co/4nXb3D8n/10-00-20-1.jpg"
BTG-079,"Total 1000ml","Total - 1000ml","Tyre Sealants",,"BTG",3315,2399,13,"https://i.ibb.co/qFWwP64S/2.jpg"
BTG-080,"2.75-14","2.75-14","Tyres(New):",,"Hussain, Zess, MTF, Rupsha",6220,6181,28,"https://i.ibb.co/4nXb3D8n/10-00-20-1.jpg"
BTG-081,"3.00-10","3.00-10","Tyres(New):",,"Hussain",6397,4768,85,"https://i.ibb.co/4nXb3D8n/10-00-20-1.jpg"
BTG-082,"42454.000231481485","42454.000231481485","Tyres(New):",,"Hussain, Zess, MTF, Rupsha",10789,5243,52,"https://i.ibb.co/4nXb3D8n/10-00-20-1.jpg"
BTG-083,"3.50-10","3.50-10","Tyres(New):",,"Hussain",8738,4316,20,"https://i.ibb.co/4nXb3D8n/10-00-20-1.jpg"
BTG-084,"4.00-12","4.00-12","Tyres(New):",,"Hussain",3875,8372,83,"https://i.ibb.co/4nXb3D8n/10-00-20-1.jpg"
BTG-085,"4.00-8","4.00-8","Tyres",,"Local",6242,2268,22,"https://i.ibb.co/4nXb3D8n/10-00-20-1.jpg"
